IP	Port	Protocol
10.79.1.11	51545	unknown
10.79.1.11	51876	unknown
10.79.1.11	51969	unknown
10.79.1.11	52174	unknown
10.79.1.11	52392	unknown
10.79.1.11	5262	unknown
10.79.1.11	52902	unknown
10.79.1.11	53125	unknown
10.79.1.11	53280	unknown
10.79.1.11	53376	unknown
10.79.1.11	53420	unknown
10.79.1.11	53547	unknown
10.79.1.11	53587	unknown
10.79.1.11	5403	unknown
10.79.1.11	54069	unknown
10.79.1.11	54625	unknown
10.79.1.11	54853	unknown
10.79.1.11	55061	unknown
10.79.1.11	55104	unknown
10.79.1.11	55360	unknown
10.79.1.11	55884	unknown
10.79.1.11	56038	unknown
10.79.1.11	56855	unknown
10.79.1.11	56861	unknown
